iter	Passed	Remaining
0	1	1965
1	3	1954
2	5	1905
3	7	1853
4	9	1825
5	10	1778
6	12	1743
7	13	1701
8	15	1665
9	16	1635
10	17	1611
11	19	1594
12	20	1577
13	22	1563
14	23	1553
15	25	1546
16	26	1536
17	28	1527
18	29	1519
19	30	1510
20	32	1502
21	33	1493
22	34	1485
23	36	1478
24	37	1473
25	39	1467
26	40	1463
27	41	1457
28	43	1452
29	44	1448
30	46	1443
31	47	1440
32	49	1436
33	50	1433
34	51	1428
35	53	1426
36	54	1422
37	56	1418
38	57	1414
39	58	1412
40	60	1410
41	61	1408
42	63	1406
43	64	1403
44	66	1402
45	67	1398
46	68	1396
47	70	1392
48	71	1389
49	73	1387
50	74	1385
51	75	1382
52	77	1380
53	78	1378
54	80	1375
55	81	1374
56	82	1371
57	84	1371
58	86	1372
59	87	1373
60	89	1373
61	90	1372
62	92	1373
63	93	1373
64	95	1373
65	97	1372
66	98	1370
67	99	1368
68	101	1365
69	102	1363
70	104	1360
71	105	1358
72	106	1355
73	108	1354
74	109	1351
75	110	1349
76	112	1347
77	113	1344
78	115	1342
79	116	1340
80	118	1339
81	119	1337
82	120	1335
83	122	1333
84	123	1331
85	124	1328
86	126	1326
87	127	1324
88	129	1322
89	130	1320
90	132	1318
91	133	1316
92	134	1314
93	136	1312
94	137	1310
95	139	1309
96	140	1307
97	141	1305
98	143	1303
99	144	1301
100	146	1299
101	147	1298
102	148	1296
103	150	1293
104	151	1291
105	152	1290
106	154	1288
107	155	1287
108	157	1284
109	158	1283
110	160	1281
111	161	1279
112	162	1277
113	164	1276
114	165	1274
115	166	1272
116	168	1269
117	169	1267
118	170	1265
119	172	1264
120	173	1262
121	175	1261
122	176	1260
123	178	1258
124	179	1256
125	180	1254
126	182	1253
127	183	1251
128	185	1249
129	186	1247
130	188	1247
131	189	1245
132	190	1243
133	192	1241
134	193	1240
135	194	1238
136	196	1236
137	197	1235
138	199	1233
139	200	1231
140	201	1230
141	203	1229
142	204	1227
143	206	1225
144	207	1224
145	208	1222
146	210	1220
147	211	1218
148	213	1217
149	214	1215
150	215	1213
151	217	1211
152	218	1210
153	219	1208
154	221	1206
155	222	1205
156	224	1203
157	225	1202
158	226	1200
159	228	1198
160	229	1197
161	231	1195
162	232	1194
163	234	1192
164	235	1191
165	236	1189
166	238	1188
167	239	1186
168	241	1185
169	242	1183
170	243	1181
171	245	1180
172	246	1178
173	247	1177
174	249	1175
175	250	1173
176	252	1172
177	253	1170
178	254	1169
179	256	1167
180	257	1166
181	259	1164
182	260	1162
183	261	1161
184	263	1159
185	264	1158
186	266	1156
187	267	1155
188	268	1153
189	270	1151
190	271	1150
191	272	1148
192	274	1147
193	275	1145
194	277	1143
195	278	1142
196	279	1140
197	281	1139
198	282	1137
199	284	1136
200	285	1134
201	286	1132
202	288	1131
203	289	1129
204	290	1128
205	292	1126
206	293	1125
207	295	1123
208	296	1122
209	298	1121
210	299	1119
211	300	1117
212	302	1116
213	303	1114
214	304	1113
215	306	1111
216	307	1110
217	309	1108
218	310	1107
219	312	1107
220	313	1106
221	315	1106
222	317	1105
223	318	1104
224	320	1104
225	322	1103
226	323	1102
227	325	1101
228	327	1101
229	328	1100
230	330	1100
231	332	1099
232	333	1098
233	335	1097
234	337	1097
235	338	1096
236	340	1095
237	342	1095
238	343	1094
239	345	1093
240	347	1092
241	348	1092
242	350	1091
243	351	1090
244	353	1090
245	355	1089
246	357	1088
247	358	1087
248	360	1087
249	362	1086
250	363	1085
251	365	1084
252	367	1083
253	368	1082
254	370	1082
255	371	1081
256	373	1080
257	375	1079
258	376	1078
259	378	1077
260	380	1076
261	381	1075
262	383	1074
263	385	1073
264	386	1072
265	388	1071
266	390	1070
267	391	1070
268	393	1068
269	394	1067
270	396	1065
271	397	1063
272	398	1062
273	400	1060
274	401	1059
275	403	1057
276	404	1055
277	405	1054
278	407	1052
279	408	1051
280	410	1049
281	411	1048
282	413	1046
283	414	1045
284	415	1043
285	417	1041
286	418	1040
287	420	1038
288	421	1037
289	423	1035
290	424	1034
291	425	1032
292	427	1030
293	428	1029
294	429	1027
295	431	1026
296	432	1024
297	434	1023
298	435	1021
299	437	1019
300	438	1018
301	439	1016
302	441	1015
303	442	1013
304	444	1012
305	445	1010
306	447	1009
307	448	1007
308	449	1005
309	451	1004
310	452	1002
311	454	1001
312	455	999
313	456	997
314	458	996
315	459	994
316	461	993
317	462	991
318	463	990
319	465	988
320	466	986
321	467	985
322	469	983
323	470	982
324	472	980
325	473	979
326	474	977
327	476	975
328	477	973
329	478	971
330	479	969
331	481	967
332	482	965
333	483	964
334	484	962
335	485	960
336	487	958
337	488	956
338	489	954
339	490	952
340	492	951
341	493	950
342	495	948
343	496	946
344	497	945
345	499	943
346	500	941
347	501	940
348	503	938
349	504	936
350	505	935
351	507	933
352	508	932
353	509	930
354	511	929
355	512	927
356	514	925
357	515	924
358	516	922
359	517	920
360	519	918
361	520	917
362	521	915
363	523	914
364	524	912
365	525	910
366	526	908
367	528	907
368	529	905
369	530	903
370	532	902
371	533	900
372	535	899
373	536	897
374	537	896
375	539	894
376	540	893
377	541	891
378	542	889
379	544	888
380	545	886
381	546	884
382	548	882
383	549	881
384	550	879
385	551	878
386	553	876
387	554	875
388	556	873
389	557	872
390	558	870
391	560	869
392	561	867
393	562	865
394	564	863
395	565	862
396	566	860
397	567	858
398	569	857
399	570	855
400	571	854
401	573	852
402	574	850
403	575	849
404	576	847
405	578	845
406	579	844
407	580	842
408	582	841
409	583	839
410	584	837
411	585	835
412	587	834
413	588	832
414	589	831
415	590	829
416	591	827
417	593	825
418	594	824
419	595	822
420	596	820
421	598	819
422	599	817
423	600	815
424	601	814
425	603	812
426	604	810
427	605	809
428	607	808
429	608	806
430	609	805
431	611	803
432	612	802
433	613	800
434	614	798
435	616	797
436	617	795
437	618	794
438	620	792
439	621	790
440	622	789
441	623	787
442	624	785
443	626	784
444	627	782
445	628	781
446	630	779
447	631	778
448	632	776
449	634	774
450	635	773
451	636	771
452	637	770
453	638	768
454	640	766
455	641	765
456	642	763
457	644	762
458	645	760
459	646	759
460	647	757
461	649	755
462	650	754
463	651	752
464	653	751
465	654	749
466	655	748
467	656	746
468	658	745
469	659	743
470	660	742
471	661	740
472	663	738
473	664	737
474	665	736
475	667	734
476	668	732
477	669	731
478	670	729
479	672	728
480	673	726
481	674	725
482	676	723
483	677	722
484	678	720
485	680	719
486	681	717
487	682	716
488	684	715
489	685	713
490	686	711
491	688	710
492	689	709
493	690	707
494	692	706
495	693	704
496	694	703
497	696	701
498	697	700
499	698	698
500	700	697
501	701	695
502	702	694
503	703	692
504	705	691
505	706	689
506	707	687
507	708	686
508	710	684
509	711	683
510	712	681
511	713	680
512	715	679
513	716	677
514	717	675
515	718	674
516	720	672
517	721	671
518	722	669
519	724	668
520	725	666
521	726	665
522	728	664
523	729	662
524	730	661
525	732	659
526	733	658
527	735	657
528	736	655
529	737	654
530	739	652
531	740	651
532	741	649
533	742	648
534	744	646
535	745	645
536	746	643
537	748	642
538	749	640
539	750	639
540	751	637
541	752	636
542	754	634
543	755	633
544	756	631
545	757	630
546	759	628
547	760	627
548	762	626
549	763	624
550	764	623
551	765	621
552	767	620
553	768	618
554	769	617
555	770	615
556	772	614
557	773	612
558	774	610
559	775	609
560	776	608
561	778	606
562	779	604
563	780	603
564	781	601
565	783	600
566	784	598
567	785	597
568	786	595
569	788	594
570	789	593
571	790	591
572	791	590
573	793	588
574	794	587
575	795	585
576	796	584
577	798	582
578	799	581
579	800	579
580	801	578
581	802	576
582	804	575
583	805	573
584	806	572
585	808	571
586	809	569
587	810	568
588	812	566
589	813	565
590	814	563
591	815	562
592	817	560
593	818	559
594	819	557
595	820	556
596	822	554
597	823	553
598	824	552
599	825	550
600	827	549
601	828	547
602	829	546
603	830	544
604	831	543
605	833	541
606	834	540
607	835	538
608	836	537
609	838	535
610	839	534
611	840	532
612	841	531
613	843	530
614	844	528
615	845	527
616	846	525
617	847	524
618	849	522
619	850	521
620	851	519
621	853	518
622	854	516
623	855	515
624	856	514
625	858	512
626	859	511
627	860	509
628	862	508
629	863	507
630	864	505
631	865	504
632	866	502
633	868	501
634	869	499
635	870	498
636	871	496
637	873	495
638	874	493
639	875	492
640	876	491
641	878	489
642	879	488
643	880	486
644	881	485
645	882	483
646	884	482
647	885	480
648	886	479
649	887	477
650	889	476
651	890	475
652	891	473
653	892	472
654	894	471
655	895	469
656	896	468
657	898	466
658	899	465
659	900	463
660	901	462
661	902	460
662	904	459
663	905	458
664	906	456
665	907	455
666	909	453
667	910	452
668	911	450
669	912	449
670	913	448
671	915	446
672	916	445
673	917	443
674	918	442
675	920	440
676	921	439
677	922	438
678	923	436
679	924	435
680	926	433
681	927	432
682	928	431
683	929	429
684	931	428
685	932	426
686	933	425
687	934	423
688	936	422
689	937	421
690	938	419
691	939	418
692	940	416
693	942	415
694	943	413
695	944	412
696	945	411
697	946	409
698	948	408
699	949	406
700	950	405
701	951	404
702	953	402
703	954	401
704	955	399
705	956	398
706	957	397
707	959	395
708	960	394
709	961	392
710	962	391
711	964	389
712	965	388
713	966	387
714	967	385
715	969	384
716	970	382
717	971	381
718	972	380
719	974	378
720	975	377
721	976	376
722	977	374
723	978	373
724	980	371
725	981	370
726	982	369
727	983	367
728	985	366
729	986	364
730	987	363
731	988	362
732	990	360
733	991	359
734	992	357
735	993	356
736	995	355
737	996	353
738	997	352
739	998	350
740	1000	349
741	1001	348
742	1002	346
743	1003	345
744	1004	343
745	1006	342
746	1007	341
747	1008	339
748	1009	338
749	1011	337
750	1012	335
751	1013	334
752	1014	332
753	1016	331
754	1017	330
755	1018	328
756	1019	327
757	1020	325
758	1022	324
759	1023	323
760	1024	321
761	1025	320
762	1027	319
763	1028	317
764	1029	316
765	1030	314
766	1032	313
767	1033	312
768	1034	310
769	1035	309
770	1037	308
771	1038	306
772	1039	305
773	1040	303
774	1041	302
775	1043	301
776	1044	299
777	1045	298
778	1046	296
779	1048	295
780	1049	294
781	1050	292
782	1051	291
783	1053	290
784	1054	288
785	1055	287
786	1056	286
787	1057	284
788	1059	283
789	1060	281
790	1061	280
791	1062	279
792	1063	277
793	1065	276
794	1066	275
795	1067	273
796	1068	272
797	1070	270
798	1071	269
799	1072	268
800	1073	266
801	1075	265
802	1076	264
803	1077	262
804	1078	261
805	1080	259
806	1081	258
807	1082	257
808	1083	255
809	1084	254
810	1086	253
811	1087	251
812	1088	250
813	1089	249
814	1090	247
815	1092	246
816	1093	244
817	1094	243
818	1095	242
819	1097	240
820	1098	239
821	1099	238
822	1100	236
823	1101	235
824	1103	234
825	1104	232
826	1105	231
827	1106	229
828	1108	228
829	1109	227
830	1110	225
831	1111	224
832	1113	223
833	1114	221
834	1115	220
835	1116	219
836	1117	217
837	1119	216
838	1120	215
839	1121	213
840	1122	212
841	1124	210
842	1125	209
843	1126	208
844	1128	206
845	1129	205
846	1130	204
847	1131	202
848	1132	201
849	1134	200
850	1135	198
851	1136	197
852	1137	196
853	1139	194
854	1140	193
855	1141	192
856	1142	190
857	1144	189
858	1145	188
859	1146	186
860	1147	185
861	1149	183
862	1150	182
863	1151	181
864	1152	179
865	1154	178
866	1155	177
867	1156	175
868	1157	174
869	1158	173
870	1160	171
871	1161	170
872	1162	169
873	1163	167
874	1165	166
875	1166	165
876	1167	163
877	1168	162
878	1169	161
879	1171	159
880	1172	158
881	1173	156
882	1174	155
883	1176	154
884	1177	152
885	1178	151
886	1179	150
887	1180	148
888	1182	147
889	1183	146
890	1184	144
891	1185	143
892	1187	142
893	1188	140
894	1189	139
895	1191	138
896	1192	136
897	1193	135
898	1194	134
899	1196	132
900	1197	131
901	1198	130
902	1199	128
903	1201	127
904	1202	126
905	1203	124
906	1204	123
907	1205	122
908	1207	120
909	1208	119
910	1209	118
911	1210	116
912	1212	115
913	1213	114
914	1214	112
915	1215	111
916	1217	110
917	1218	108
918	1219	107
919	1221	106
920	1222	104
921	1224	103
922	1225	102
923	1226	100
924	1228	99
925	1229	98
926	1231	96
927	1232	95
928	1233	94
929	1235	92
930	1236	91
931	1237	90
932	1238	88
933	1239	87
934	1241	86
935	1242	84
936	1243	83
937	1244	82
938	1245	80
939	1247	79
940	1248	78
941	1249	76
942	1251	75
943	1252	74
944	1253	72
945	1255	71
946	1256	70
947	1257	68
948	1259	67
949	1260	66
950	1261	65
951	1262	63
952	1264	62
953	1265	61
954	1266	59
955	1267	58
956	1269	57
957	1270	55
958	1271	54
959	1272	53
960	1274	51
961	1275	50
962	1276	49
963	1277	47
964	1279	46
965	1280	45
966	1281	43
967	1282	42
968	1284	41
969	1285	39
970	1286	38
971	1288	37
972	1289	35
973	1290	34
974	1291	33
975	1293	31
976	1294	30
977	1295	29
978	1296	27
979	1298	26
980	1299	25
981	1300	23
982	1301	22
983	1303	21
984	1304	19
985	1305	18
986	1306	17
987	1308	15
988	1309	14
989	1310	13
990	1311	11
991	1313	10
992	1314	9
993	1315	7
994	1317	6
995	1318	5
996	1319	3
997	1320	2
998	1322	1
999	1323	0
